2016-07-03 00:00:58.070 | INFO  | main       | .ncpimpl.IssueThread:73    | todays issue has finished ....next issue ..160703001
2016-07-03 00:02:58.239 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160703001
2016-07-03 00:04:58.246 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160703001
2016-07-03 00:06:58.261 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160703001
2016-07-03 00:08:58.279 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160703001
2016-07-03 00:10:58.295 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160703001
2016-07-03 00:12:58.461 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160703001
2016-07-03 00:14:58.478 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160703001
2016-07-03 00:16:58.488 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160703001
2016-07-03 00:18:58.502 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160703001
2016-07-03 00:20:58.515 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160703001
2016-07-03 00:22:58.533 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160703001
2016-07-03 00:24:58.549 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160703001
2016-07-03 00:26:58.567 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160703001
2016-07-03 00:28:58.569 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160703001
2016-07-03 00:30:58.577 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160703001
2016-07-03 00:32:58.594 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160703001
2016-07-03 00:34:58.605 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160703001
2016-07-03 00:36:58.618 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160703001
2016-07-03 00:38:58.619 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160703001
2016-07-03 00:40:58.627 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160703001
2016-07-03 00:42:58.638 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160703001
2016-07-03 00:44:58.647 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160703001
2016-07-03 00:46:58.656 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160703001
2016-07-03 00:48:58.658 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160703001
2016-07-03 00:50:58.666 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160703001
2016-07-03 00:52:58.683 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160703001
2016-07-03 00:54:58.693 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160703001
2016-07-03 00:56:58.703 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160703001
2016-07-03 00:58:58.710 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160703001
2016-07-03 01:00:58.715 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160703001
2016-07-03 01:02:58.729 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160703001
2016-07-03 01:04:58.732 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160703001
2016-07-03 01:06:58.768 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160703001
2016-07-03 01:08:58.777 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160703001
2016-07-03 01:10:58.784 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160703001
2016-07-03 01:12:58.797 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160703001
2016-07-03 01:14:58.807 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160703001
2016-07-03 01:16:58.817 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160703001
2016-07-03 01:18:58.823 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160703001
2016-07-03 01:20:58.839 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160703001
2016-07-03 01:22:58.841 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160703001
2016-07-03 01:24:58.856 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160703001
2016-07-03 01:26:58.874 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160703001
