2016-07-06 01:55:44.361 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 01:57:44.364 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 01:59:44.367 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 02:01:44.370 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 02:03:44.372 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 02:05:44.376 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 02:07:44.379 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 02:09:44.381 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 02:11:44.383 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 02:13:44.386 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 02:15:44.389 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 02:17:44.390 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 02:19:44.393 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 02:21:44.397 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 02:23:44.400 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 02:25:44.403 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 02:27:44.406 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 02:29:44.408 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 02:31:44.414 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 02:33:44.417 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 02:35:44.421 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 02:37:44.424 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 02:39:44.427 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 02:41:44.430 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 02:43:44.433 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 02:45:44.437 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 02:47:44.439 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 02:49:44.442 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 02:51:44.445 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 02:53:44.448 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 02:55:44.451 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 02:57:44.454 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 02:59:44.458 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 03:01:44.460 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 03:03:44.463 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 03:05:44.466 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 03:07:44.469 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 03:09:44.472 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 03:11:44.477 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 03:13:44.480 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 03:15:44.486 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 03:17:44.501 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 03:19:44.531 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 03:21:44.567 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 03:23:44.587 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 03:25:44.590 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 03:27:44.593 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 03:29:44.597 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 03:31:44.599 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 03:33:44.603 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 03:35:44.606 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 03:37:44.610 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 03:39:44.612 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 03:41:44.614 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 03:43:44.617 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 03:45:44.620 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 03:47:44.623 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 03:49:44.626 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 03:51:44.630 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 03:53:44.634 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 03:55:44.638 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 03:57:44.641 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 03:59:44.645 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 04:01:44.646 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 04:03:44.666 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 04:05:44.670 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 04:07:44.672 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 04:09:44.675 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 04:11:44.677 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 04:13:44.680 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 04:15:44.680 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 04:17:44.682 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 04:19:44.684 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 04:21:44.686 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 04:23:44.688 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 04:25:44.710 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 04:27:44.713 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 04:29:44.714 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 04:31:44.717 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 04:33:44.719 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 04:35:44.721 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 04:37:44.723 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 04:39:44.727 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 04:41:44.730 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 04:43:44.733 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 04:45:44.735 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 04:47:44.739 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 04:49:44.741 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 04:51:44.744 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 04:53:44.746 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
2016-07-06 04:55:44.748 | INFO  | main       | .ncpimpl.IssueThread:83    | over the server time ....next issue ..160706001
